year_month,oni
6/1/2007,-0.4
7/1/2007,-0.5
8/1/2007,-0.8
9/1/2007,-1.1
10/1/2007,-1.4
11/1/2007,-1.5
12/1/2007,-1.6
1/1/2008,-1.6
2/1/2008,-1.4
3/1/2008,-1.2
4/1/2008,-0.9
5/1/2008,-0.8
6/1/2008,-0.5
7/1/2008,-0.4
8/1/2008,-0.3
9/1/2008,-0.3
10/1/2008,-0.4
11/1/2008,-0.6
12/1/2008,-0.7
1/1/2009,-0.8
2/1/2009,-0.7
3/1/2009,-0.5
4/1/2009,-0.2
5/1/2009,0.1
6/1/2009,0.4
7/1/2009,0.5
8/1/2009,0.5
9/1/2009,0.7
10/1/2009,1
11/1/2009,1.3
12/1/2009,1.6
1/1/2010,1.5
2/1/2010,1.3
3/1/2010,0.9
4/1/2010,0.4
5/1/2010,-0.1
6/1/2010,-0.6
7/1/2010,-1
8/1/2010,-1.4
9/1/2010,-1.6
10/1/2010,-1.7
11/1/2010,-1.7
12/1/2010,-1.6
1/1/2011,-1.4
2/1/2011,-1.1
3/1/2011,-0.8
4/1/2011,-0.6
5/1/2011,-0.5
6/1/2011,-0.4
7/1/2011,-0.5
8/1/2011,-0.7
9/1/2011,-0.9
10/1/2011,-1.1
11/1/2011,-1.1
12/1/2011,-1
1/1/2012,-0.8
2/1/2012,-0.6
3/1/2012,-0.5
4/1/2012,-0.4
5/1/2012,-0.2
6/1/2012,0.1
7/1/2012,0.3
8/1/2012,0.3
9/1/2012,0.3
10/1/2012,0.2
11/1/2012,0
12/1/2012,-0.2
1/1/2013,-0.4
2/1/2013,-0.3
3/1/2013,-0.2
4/1/2013,-0.2
5/1/2013,-0.3
6/1/2013,-0.3
7/1/2013,-0.4
8/1/2013,-0.4
9/1/2013,-0.3
10/1/2013,-0.2
11/1/2013,-0.2
12/1/2013,-0.3
1/1/2014,-0.4
2/1/2014,-0.4
3/1/2014,-0.2
4/1/2014,0.1
5/1/2014,0.3
6/1/2014,0.2
7/1/2014,0.1
8/1/2014,0
9/1/2014,0.2
10/1/2014,0.4
11/1/2014,0.6
12/1/2014,0.7
1/1/2015,0.6
2/1/2015,0.6
3/1/2015,0.6
4/1/2015,0.8
5/1/2015,1
6/1/2015,1.2
7/1/2015,1.5
8/1/2015,1.8
9/1/2015,2.1
10/1/2015,2.4
11/1/2015,2.5
12/1/2015,2.6
1/1/2016,2.5
2/1/2016,2.2
3/1/2016,1.7
4/1/2016,1
5/1/2016,0.5
6/1/2016,0
7/1/2016,-0.3
8/1/2016,-0.6
9/1/2016,-0.7
10/1/2016,-0.7
11/1/2016,-0.7
12/1/2016,-0.6
1/1/2017,-0.3
2/1/2017,-0.1
3/1/2017,0.1
4/1/2017,0.3
5/1/2017,0.4
6/1/2017,0.4
7/1/2017,0.2
8/1/2017,-0.1
9/1/2017,-0.4
10/1/2017,-0.7
11/1/2017,-0.9
12/1/2017,-1
1/1/2018,-0.9
2/1/2018,-0.8
3/1/2018,-0.6
4/1/2018,-0.4
5/1/2018,-0.1
6/1/2018,0.1
7/1/2018,0.1
8/1/2018,0.2
9/1/2018,0.4
